datetime,ALL_CHAN,ALL_RES,BBID,BETHELIS,CACHESL_COMPLEX,CACHESL_LIBIS,CLIFTON,DEL_DRAIN,DEL_SEEP,DISAPP_SL,DISCOVERYBAY,FRANKST,FRANKSTRACT,GLC_OLDR,HOLLANDCUT,HONKER_BAY,LIBERTYIS,LOWERSJR,LOW_SACR,MIDDLE_RIVER,MID_SUISUNBAY,MILDREDIS,MILDRED_ISLAND,NS_FORKS_MOKER,OLD_RIVER,OTH_DIV,ROCKSL_DISCBAY,SACR_DWSC,SACR_RIOVISTA,SACR_RYDE,SACR_SHIPCHANNEL,SJR_PRISONERSPT,SJR_STOCKTON,SJR_TWITCHELL_ISLAND,SUISUNMARSH,SUT_STMBT_MIN_ELK,UPPER_SACR,UPPER_SJR,VICTORIA_CANAL,WEST_SUISUNBAY,WHOLE
28May2017  0100,0.7500,0.0000,0.0000,0.0000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0200,0.7500,0.0000,0.0000,0.0000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0300,0.7500,0.0000,0.0000,0.0000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0400,0.7500,0.0000,0.0000,0.0000,0.1500,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0500,0.7500,0.0000,0.0000,0.0000,0.1500,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0600,0.7500,0.0000,0.0000,0.0000,0.1500,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0700,0.7500,0.0000,0.0000,0.0000,0.1500,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0800,0.7500,0.0000,0.0000,0.0000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  0900,0.7500,0.0000,0.0000,0.0000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  1000,0.7500,0.0000,0.0000,0.0000,0.1000,0.2000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  1100,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  1200,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  1300,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  1400,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  1500,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  1600,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  1700,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  1800,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  1900,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.7500
28May2017  2000,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  2100,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  2200,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
28May2017  2300,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0000,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0100,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0200,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0300,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0400,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0500,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0600,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0700,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0800,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  0900,0.7500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0500,0.7500
29May2017  1000,0.7000,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.1000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000
29May2017  1100,0.7000,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7000
29May2017  1200,0.7000,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.7000
29May2017  1300,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.6500
29May2017  1400,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  1500,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  1600,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  1700,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  1800,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  1900,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  2000,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  2100,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  2200,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
29May2017  2300,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0000,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0100,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0200,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0300,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0400,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0500,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0600,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0700,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0800,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  0900,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.1000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  1000,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6500
30May2017  1100,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.6500
30May2017  1200,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.6500
30May2017  1300,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.6500
30May2017  1400,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.6500
30May2017  1500,0.6500,0.0000,0.0000,0.0000,0.1000,0.1500,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,0.6500
